Time	VMax	F0	K	Alpha	FCE	LCE	VCE	PMECH	PMET
0.00000000000000000e+00	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.88562154738208199e-01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00
1.00000000000000005e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.99999436517175400e+03	1.88562154508961827e-01	-2.29246371885594158e-06	-6.87737823892850889e-03	1.36080389962285608e+03
2.00000000000000010e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.99293732015199112e+03	1.88561866593252775e-01	-2.87915709051844715e-03	-8.61713670679288413e+00	1.36570474798265764e+03
3.00000000000000028e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.98592717223958880e+03	1.88561291752958576e-01	-5.74840294198519786e-03	-1.71643125414555939e+01	1.37060677824893287e+03
4.00000000000000019e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.97896153895311591e+03	1.88560430668018558e-01	-8.61084940018130851e-03	-2.56513891808576275e+01	1.37551125657550460e+03
5.00000000000000010e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.97203992200826769e+03	1.88559284012831757e-01	-1.14665518680112655e-02	-3.40790499195079590e+01	1.38041815096754908e+03
6.00000000000000056e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.96516183835215270e+03	1.88557852456629566e-01	-1.43155620219159729e-02	-4.24479582019486230e+01	1.38532742442223184e+03
7.00000000000000101e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.95832681821747610e+03	1.88556136663778878e-01	-1.71579285068723664e-02	-5.07587600469386615e+01	1.39023903603417375e+03
8.00000000000000147e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.95153440366609948e+03	1.88554137294034307e-01	-1.99936974457082250e-02	-5.90120858674988398e+01	1.39515294179992702e+03
9.00000000000000192e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.94478414733297586e+03	1.88551855002746460e-01	-2.28229128784729340e-02	-6.72085520404887120e+01	1.40006909531631391e+03
1.00000000000000024e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.93807561144334204e+03	1.88549290441036577e-01	-2.56456170988350607e-02	-7.53487621385016553e+01	1.40498744831242811e+03
1.10000000000000028e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.93140836695013741e+03	1.88546444255941664e-01	-2.84618509491241234e-02	-8.34333080111501602e+01	1.40990795111948091e+03
1.20000000000000033e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.92478199291711690e+03	1.88543317090539730e-01	-3.12716540193380688e-02	-9.14627705644941642e+01	1.41483055298105023e+03
1.30000000000000037e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.91819607592171587e+03	1.88539909584055365e-01	-3.40750648436527470e-02	-9.94377205135254627e+01	1.41975520236496800e+03
1.40000000000000042e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.91165020962755625e+03	1.88536222371952361e-01	-3.68721210300404501e-02	-1.07358718926529903e+02	1.42468184716309997e+03
1.50000000000000046e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.90514399435090263e+03	1.88532256086012706e-01	-3.96628593965497878e-02	-1.15226317774670875e+02	1.42961043490681936e+03
1.60000000000000051e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.89867703681685862e+03	1.88528011354409719e-01	-4.24473160298699526e-02	-1.23041060250292176e+02	1.43454091284872766e+03
1.70000000000000056e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.89224894976694031e+03	1.88523488801768668e-01	-4.52255264105083654e-02	-1.30803481263449839e+02	1.43947322816461337e+03
1.80000000000000060e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.88585935183640277e+03	1.88518689049226223e-01	-4.79975254244480176e-02	-1.38514107611148830e+02	1.44440732795672693e+03
1.90000000000000065e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.87950786726735942e+03	1.88513612714481471e-01	-5.07633474475244206e-02	-1.46173458343973010e+02	1.44934315938745362e+03
2.00000000000000048e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.87319412575671822e+03	1.88508260411844125e-01	-5.35230263734587375e-02	-1.53782044968943552e+02	1.45428066971450062e+03
2.10000000000000030e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.86691776229143852e+03	1.88502632752279242e-01	-5.62765956488298080e-02	-1.61340371666923261e+02	1.45921980633941894e+03
2.20000000000000013e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.86067841700292911e+03	1.88496730343449131e-01	-5.90240883011072803e-02	-1.68848935486252685e+02	1.46416051684468539e+03
2.29999999999999996e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.85447573504069305e+03	1.88490553789753185e-01	-6.17655369594682924e-02	-1.76308226512561333e+02	1.46910274901860703e+03
2.39999999999999979e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.84830936643789391e+03	1.88484103692365151e-01	-6.45009738803326016e-02	-1.83718728047717292e+02	1.47404645088940720e+03
2.49999999999999962e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.84217896603189592e+03	1.88477380649270193e-01	-6.72304309495830310e-02	-1.91080916722164687e+02	1.47899157071777995e+03
2.59999999999999945e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.83608419330260267e+03	1.88470385255297967e-01	-6.99539397222559423e-02	-1.98395262705533128e+02	1.48393805705771319e+03
2.69999999999999928e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.83002471234874793e+03	1.88463118102157795e-01	-7.26715314017245539e-02	-2.05662229751108526e+02	1.48888585870813745e+03
2.79999999999999910e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.82400019173645296e+03	1.88455579778470134e-01	-7.53832368766138572e-02	-2.12882275393271982e+02	1.49383492476957485e+03
2.89999999999999893e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.81801030444404796e+03	1.88447770869798581e-01	-7.80890867155270563e-02	-2.20055851028980072e+02	1.49878520462454571e+03
2.99999999999999876e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.81205472777059231e+03	1.88439691958680711e-01	-8.07891111787029104e-02	-2.27183402042455526e+02	1.50373664794898718e+03
3.09999999999999859e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.80613314326562568e+03	1.88431343624658632e-01	-8.34833402207912911e-02	-2.34265367904082694e+02	1.50868920470767330e+03
3.19999999999999842e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.80024523662442061e+03	1.88422726444307631e-01	-8.61718035100045299e-02	-2.41302182310225703e+02	1.51364282517998026e+03
3.29999999999999825e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.79439069764753003e+03	1.88413840991265763e-01	-8.88545304186805218e-02	-2.48294273245800355e+02	1.51859745993333172e+03
3.39999999999999808e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.78856922017027910e+03	1.88404687836262963e-01	-9.15315500280011740e-02	-2.55242063082560122e+02	1.52355305982269101e+03
3.49999999999999790e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.78278050193471017e+03	1.88395267547146972e-01	-9.42028911599113172e-02	-2.62145968745678886e+02	1.52850957604074438e+03
3.59999999999999773e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.77702424462915997e+03	1.88385580688913729e-01	-9.68685823324322293e-02	-2.69006401680020190e+02	1.53346696002632825e+03
3.69999999999999756e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.77130015369252169e+03	1.88375627823731323e-01	-9.95286518240545703e-02	-2.75823768096811932e+02	1.53842516357530803e+03
3.79999999999999739e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	1.00000000000000002e-02	2.76560793836957737e+03	1.88365409510969056e-01	-1.02183127622668124e-01	-2.82598468920682592e+02	1.54338413873719583e+03
