Time	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ
	BoneTrunk	-1.65748596191406319e-02	4.77847382426261902e-02	7.38509953022003174e-01	-0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	-1.21599771082401276e-02	1.23860143125057220e-01	5.67825078964233398e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneLeftThigh	7.42488168179988861e-03	1.10071133044354091e-01	6.01916700601577759e-01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00
1.00000000000000005e-04	BoneTrunk	-1.65748596191406319e-02	4.77847382426261902e-02	7.38509953021690979e-01	-1.21051358073865273e+02	1.21034778463249791e+03	-2.74232948421701440e+03	BoneLeftThigh	-1.21599773926340735e-02	1.23860143125057179e-01	5.67825079127579735e-01	-9.32359975031528279e+02	-1.21034778463249927e+03	2.58180737241504676e+03	BoneLeftThigh	7.42488168180027025e-03	1.10071133079503822e-01	6.01916700601546117e-01	1.05341133310539362e+03	1.34423178164358069e-12	1.60522111801967526e+02
2.00000000000000010e-04	BoneTrunk	-1.65748596198295739e-02	4.77847382554027478e-02	7.38509952994000018e-01	-1.20766566706390307e+02	1.20750246302459323e+03	-2.73587774590058689e+03	BoneLeftThigh	-1.21603348996648583e-02	1.23860143112968862e-01	5.67825284530969143e-01	-9.30139448236566523e+02	-1.20750246302500045e+03	2.57574304055767925e+03	BoneLeftThigh	7.42488168461859568e-03	1.10071177283821361e-01	6.01916700621180856e-01	1.05090601494295674e+03	4.07343848494444688e-10	1.60134705342908063e+02
3.00000000000000028e-04	BoneTrunk	-1.65748596203791204e-02	4.77847382655940123e-02	7.38509952971911909e-01	-1.20483632100974873e+02	1.20467788660300835e+03	-2.72946807305822495e+03	BoneLeftThigh	-1.21610487829466561e-02	1.23860143103326617e-01	5.67825694655964885e-01	-9.27906486330410985e+02	-1.20467788660373958e+03	2.56972796616151845e+03	BoneLeftThigh	7.42488169027013742e-03	1.10071265569541998e-01	6.01916700613361111e-01	1.04839011843138610e+03	7.31173880729042752e-10	1.59740106896706607e+02
4.00000000000000019e-04	BoneTrunk	-1.65748596208171312e-02	4.77847382737171950e-02	7.38509952954305549e-01	-1.20202458413060612e+02	1.20187307709200536e+03	-2.72309829534572236e+03	BoneLeftThigh	-1.21621181936483816e-02	1.23860143095641043e-01	5.67826309035596832e-01	-9.25660600447970410e+02	-1.20187307709299262e+03	2.56376001410023764e+03	BoneLeftThigh	7.42488170043322307e-03	1.10071397834940521e-01	6.01916700568078333e-01	1.04586305886103105e+03	9.87172998836214304e-10	1.59338281245484495e+02
5.00000000000000010e-04	BoneTrunk	-1.65748596211659494e-02	4.77847382801861384e-02	7.38509952940284098e-01	-1.19923025830532907e+02	1.19908781665109473e+03	-2.71676796466784663e+03	BoneLeftThigh	-1.21635422821211626e-02	1.23860143089520591e-01	5.67827127219012073e-01	-9.23401883692424235e+02	-1.19908781665228457e+03	2.55783867105809759e+03	BoneLeftThigh	7.42488171643236605e-03	1.10071573979296400e-01	6.01916700477434063e-01	1.04332490952295689e+03	1.18990420244486929e-09	1.58929293609748868e+02
6.00000000000000056e-04	BoneTrunk	-1.65748596214434080e-02	4.77847382853319042e-02	7.38509952929130353e-01	-1.19645315158247286e+02	1.19632189383348100e+03	-2.71047664673859254e+03	BoneLeftThigh	-1.21653201978177347e-02	1.23860143084652041e-01	5.67828148770931684e-01	-9.21130430351353425e+02	-1.19632189383483046e+03	2.55196343708762879e+03	BoneLeftThigh	7.42488173930821657e-03	1.10071793902905057e-01	6.01916700335216270e-01	1.04077574550960094e+03	1.34953441525118406e-09	1.58513209650964143e+02
7.00000000000000101e-04	BoneTrunk	-1.65748596216638081e-02	4.77847382894193012e-02	7.38509952920270440e-01	-1.19369307738159819e+02	1.19357510279445614e+03	-2.70422391930551157e+03	BoneLeftThigh	-1.21674510892262298e-02	1.23860143080784829e-01	5.67829373271193982e-01	-9.18846335356499935e+02	-1.19357510279592998e+03	2.54613382393234770e+03	BoneLeftThigh	7.42488176987364870e-03	1.10072057507084764e-01	6.01916700136560845e-01	1.03821564309465975e+03	1.47388957213067220e-09	1.58090095373163734e+02
8.00000000000000147e-04	BoneTrunk	-1.65748596218385363e-02	4.77847382926602435e-02	7.38509952913245060e-01	-1.19094985389489395e+02	1.19084724269783101e+03	-2.69800937082113342e+03	BoneLeftThigh	-1.21699341038159076e-02	1.23860143077718476e-01	5.67830800314366613e-01	-9.16549693893587232e+02	-1.19084724269940375e+03	2.54034935377073680e+03	BoneLeftThigh	7.42488180875849196e-03	1.10072364694180386e-01	6.01916699877680816e-01	1.03564467928307681e+03	1.57265971731011992e-09	1.57660017050396618e+02
9.00000000000000192e-04	BoneTrunk	-1.65748596219767799e-02	4.77847382952241995e-02	7.38509952907686840e-01	-1.18822330357196293e+02	1.18813811720369358e+03	-2.69183259929731685e+03	BoneLeftThigh	-1.21727683879920313e-02	1.23860143075292653e-01	5.67832429509415482e-01	-9.14240601072637560e+02	-1.18813811720534272e+03	2.53460955813270994e+03	BoneLeftThigh	7.42488185644540194e-03	1.10072715367564716e-01	6.01916699555649970e-01	1.03306293142983395e+03	1.64921436553615887e-09	1.57223041164607309e+02
