Time	XP	YP	ZP	XP2	YP2	ZP2	XA	YA	ZA	Angle	AngleRate	FX1	FY1	FZ1	TX1	TY1	TZ1	FX2	FY2	FZ2	TX2	TY2	TZ2	StopTorque
0.00000000000000000e+00	7.42488168180027719e-03	8.18402431905269623e-02	6.01916700601546117e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-1.33476958760196823e-16	1.00000000000000000e+00	-1.27351174797352021e-15	8.34205948763155902e-09	8.34205930618475266e-05	-3.84863546387210487e-02	-5.78611291518482673e-09	3.16306284548055938e+00	-9.63928437445193964e-04	5.99998744884934695e-02	-1.49089584812034798e-02	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00
1.00000000000000005e-04	7.42488168463268511e-03	8.18402431784234774e-02	6.01916700621160317e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-4.99196293261209176e-13	1.00000000000000000e+00	7.30211828149203940e-13	1.04951098824912492e-05	1.04867678238531353e-01	-1.69393868392907621e+02	1.21034739740294435e+03	-2.74616827270750946e+03	-1.34597589074549262e+02	-8.10595123992907247e+01	-8.18436272165023411e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	3.77551138963649477e-09
2.00000000000000010e-04	7.42488169029546785e-03	8.18402431687691445e-02	6.01916700613323918e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-8.97271454756729983e-13	1.00000000000000000e+00	1.31368480073579498e-12	3.14356663011494675e-05	2.09405564190333043e-01	-1.68995631837558903e+02	1.20750254138186324e+03	-2.73970006129642297e+03	-1.34282220102998451e+02	-8.08646278409425037e+01	-8.16493719406595631e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-4.07659403460070100e-03
3.00000000000000028e-04	7.42488170046751855e-03	8.18402431610739389e-02	6.01916700568028040e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-1.21456428678267313e-12	1.00000000000000000e+00	1.77876684921698419e-12	6.28055384277459439e-05	3.13698721295170735e-01	-1.68600174650533972e+02	1.20467794928219996e+03	-2.73327132068382070e+03	-1.33970376047726461e+02	-8.06669319558463513e+01	-8.14546507377984312e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-8.12122055012502730e-03
4.00000000000000019e-04	7.42488171647379125e-03	8.18402431549458131e-02	6.01916700477373334e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-1.46723986336508515e-12	1.00000000000000000e+00	2.14915458894568291e-12	1.04580405065668458e-04	4.17748666435647453e-01	-1.68207405913435878e+02	1.20187312722909519e+03	-2.72688101475962276e+03	-1.33661943755107785e+02	-8.04664278964604023e+01	-8.12594070940031656e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.21374625419884159e-02
5.00000000000000010e-04	7.42488173935532125e-03	8.18402431500711569e-02	6.01916700335147214e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-1.66822818055234546e-12	1.00000000000000000e+00	2.44380523292171721e-12	1.56736094998777276e-04	5.21556899449623690e-01	-1.67817293777741725e+02	1.19908785675450167e+03	-2.72052871950622784e+03	-1.33356888421271265e+02	-8.02631394203746424e+01	-8.10636433310586426e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-1.61256395355885776e-02
6.00000000000000056e-04	7.42488176992526366e-03	8.18402431461990876e-02	6.01916700136485128e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-1.82787580210930055e-12	1.00000000000000000e+00	2.67788451814087304e-12	2.19248585342946001e-04	6.25124903646727459e-01	-1.67429807645862866e+02	1.19632192591007902e+03	-2.71421402186702562e+03	-1.33055176033471156e+02	-8.00570901934857204e+01	-8.08673619194916142e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-2.00860670055336872e-02
7.00000000000000101e-04	7.42488180881367005e-03	8.18402431431289046e-02	6.01916699877599992e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-1.95445711445756703e-12	1.00000000000000000e+00	2.86352496093224953e-12	2.92093999936682280e-04	7.28454146258989077e-01	-1.67044917971476480e+02	1.19357512844955545e+03	-2.70793651852467701e+03	-1.32756773280452137e+02	-7.98483037450708508e+01	-8.06705654304699635e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-2.40190556203918777e-02
8.00000000000000147e-04	7.42488185650340068e-03	8.18402431407000419e-02	6.01916699555564927e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.05459284588450469e-12	1.00000000000000000e+00	3.01043243548834110e-12	3.75248607772604714e-04	8.31546078842891223e-01	-1.66662596105470357e+02	1.19084726321590597e+03	-2.70169581499971991e+03	-1.32461647484969944e+02	-7.96368034357612515e+01	-8.04732565009528571e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-2.79249113588795200e-02
9.00000000000000192e-04	7.42488191335883424e-03	8.18402431387840468e-02	6.01916699168140612e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.13357932770109558e-12	1.00000000000000000e+00	3.12637156392872613e-12	4.68688821468887795e-04	9.34402137638718822e-01	-1.66282814168364894e+02	1.18813813361213965e+03	-2.69549152486220783e+03	-1.32169766545424153e+02	-7.94226124314152599e+01	-8.02754378040316112e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-3.18039356168543716e-02
1.00000000000000024e-03	7.42488197964880775e-03	8.18402431372781541e-02	6.01916698713635956e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.19565214401377213e-12	1.00000000000000000e+00	3.21755381446869262e-12	5.72391195765575844e-04	1.03702374389708751e+00	-1.65905544949215368e+02	1.18544754718771742e+03	-2.68932326910709344e+03	-1.31881098889886971e+02	-7.92057536839586191e+01	-8.00771120266777530e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-3.56564253048163790e-02
1.10000000000000028e-03	7.42488205556506367e-03	8.18402431361001659e-02	6.01916698190798183e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.24420178277159277e-12	1.00000000000000000e+00	3.28894831509154461e-12	6.86332426059976797e-04	1.13941230417613104e+00	-1.65530761820368866e+02	1.18277531527470842e+03	-2.68319067560195026e+03	-1.31595613435610630e+02	-7.89862499157990072e+01	-7.98782818505578973e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-3.94826729391555969e-02
1.20000000000000033e-03	7.42488214123694298e-03	8.18402431351843151e-02	6.01916697598722905e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.28193918749599153e-12	1.00000000000000000e+00	3.34453015217072971e-12	8.10489346962484092e-04	1.24156921061796455e+00	-1.65158438674443232e+02	1.18012125272705907e+03	-2.67709337869868841e+03	-1.31313279559650653e+02	-7.87641236106268678e+01	-7.96789499394767518e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-4.32829667271186630e-02
1.30000000000000037e-03	7.42488223674316744e-03	8.18402431344780051e-02	6.01916696936784179e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.31103389256946759e-12	1.00000000000000000e+00	3.38747928089451046e-12	9.44838930880820271e-04	1.34349584120503995e+00	-1.64788549867250595e+02	1.17748517766826649e+03	-2.67103101883489899e+03	-1.31034067070438397e+02	-7.85393970046855401e+01	-7.94791189272585541e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-4.70575906485782985e-02
1.40000000000000042e-03	7.42488234212132503e-03	8.18402431339391168e-02	6.01916696204577217e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.33322042683309956e-12	1.00000000000000000e+00	3.42033943691710426e-12	1.08935828662914957e-03	1.44519356000205379e+00	-1.64421070175656610e+02	1.17486691130971462e+03	-2.66500324226006114e+03	-1.30757946187030797e+02	-7.83120920825929119e+01	-7.92787914101385951e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-5.08068245321606354e-02
1.50000000000000046e-03	7.42488245737539521e-03	8.18402431335340241e-02	6.01916695401873647e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.34988692421413888e-12	1.00000000000000000e+00	3.44514553239572326e-12	1.24402465805939499e-03	1.54666371738302111e+00	-1.64055974759061883e+02	1.17226627776810278e+03	-2.65900970073704775e+03	-1.30484887518133576e+02	-7.80822305730200270e+01	-7.90779699388715187e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-5.45309441300940514e-02
1.60000000000000051e-03	7.42488258248183777e-03	8.18402431332357766e-02	6.01916694528584317e-01	7.42488168179988861e-03	8.18402431905269623e-02	6.01916700601577759e-01	-2.36214389434542332e-12	1.00000000000000000e+00	3.46352527093471343e-12	1.40881542271120708e-03	1.64790765025031538e+00	-1.63693239133843463e+02	1.16968310395935896e+03	-2.65305005139376226e+03	-1.30214862049692442e+02	-7.78498339491643918e+01	-7.88766570159811380e+01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	-5.82302211881405088e-02
