Time	VMax	F0	K	Alpha	FCE	LCE	VCE	PMECH	PMET
0.00000000000000000e+00	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84706806581210581e-01	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00
1.00000000000000005e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84706806640477394e-01	5.92668136789598066e-07	0.00000000000000000e+00	0.00000000000000000e+00
2.00000000000000010e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84706881427683517e-01	7.47872061224175155e-04	0.00000000000000000e+00	0.00000000000000000e+00
3.00000000000000028e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84707030851363418e-01	1.49423679901561357e-03	0.00000000000000000e+00	0.00000000000000000e+00
4.00000000000000019e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84707254743512461e-01	2.23892149042725919e-03	0.00000000000000000e+00	0.00000000000000000e+00
5.00000000000000010e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84707552934675834e-01	2.98191163372596435e-03	0.00000000000000000e+00	0.00000000000000000e+00
6.00000000000000056e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84707925254292582e-01	3.72319616748217896e-03	0.00000000000000000e+00	0.00000000000000000e+00
7.00000000000000101e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84708371530971083e-01	4.46276678500723278e-03	0.00000000000000000e+00	0.00000000000000000e+00
8.00000000000000147e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84708891592707286e-01	5.20061736203336622e-03	0.00000000000000000e+00	0.00000000000000000e+00
9.00000000000000192e-04	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84709485267058382e-01	5.93674351095918595e-03	0.00000000000000000e+00	0.00000000000000000e+00
1.00000000000000024e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84710152381281273e-01	6.67114222890896613e-03	0.00000000000000000e+00	0.00000000000000000e+00
1.10000000000000028e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84710892762440848e-01	7.40381159575198566e-03	0.00000000000000000e+00	0.00000000000000000e+00
1.20000000000000033e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84711706237496998e-01	8.13475056149481901e-03	0.00000000000000000e+00	0.00000000000000000e+00
1.30000000000000037e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84712592633372502e-01	8.86395875504542019e-03	0.00000000000000000e+00	0.00000000000000000e+00
1.40000000000000042e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84713551777005047e-01	9.59143632545123026e-03	0.00000000000000000e+00	0.00000000000000000e+00
1.50000000000000046e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84714583495390161e-01	1.03171838511384450e-02	0.00000000000000000e+00	0.00000000000000000e+00
1.60000000000000051e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84715687615611523e-01	1.10412022136241461e-02	0.00000000000000000e+00	0.00000000000000000e+00
1.70000000000000056e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84716863964866640e-01	1.17634925511644894e-02	0.00000000000000000e+00	0.00000000000000000e+00
1.80000000000000060e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84718112370484217e-01	1.24840561757655344e-02	0.00000000000000000e+00	0.00000000000000000e+00
1.90000000000000065e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84719432659938732e-01	1.32028945451501123e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.00000000000000048e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84720824660859290e-01	1.39200092055813407e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.10000000000000030e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84722288201035978e-01	1.46354017668826053e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.20000000000000013e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84723823108424945e-01	1.53490738896699952e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.29999999999999996e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84725429211149261e-01	1.60610272431638279e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.39999999999999979e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84727106337500113e-01	1.67712635085193185e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.49999999999999962e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84728854315936331e-01	1.74797843621732341e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.59999999999999945e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84730672975081861e-01	1.81865914553047681e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.69999999999999928e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84732562143723522e-01	1.88916864166110976e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.79999999999999910e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84734521650807226e-01	1.95950708370418170e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.89999999999999893e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84736551325434761e-01	2.02967462753500527e-02	0.00000000000000000e+00	0.00000000000000000e+00
2.99999999999999876e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84738650996859044e-01	2.09967142428268971e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.09999999999999859e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84740820494479707e-01	2.16949762066320773e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.19999999999999842e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84743059647838603e-01	2.23915335889612876e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.29999999999999825e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84745368286613476e-01	2.30863877487275104e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.39999999999999808e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84747746240613908e-01	2.37795400043205873e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.49999999999999790e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84750193339775493e-01	2.44709916158436513e-02	0.00000000000000000e+00	0.00000000000000000e+00
3.59999999999999773e-03	8.40000000000000036e+00	3.00000000000000000e+05	1.70000000000000012e-01	0.00000000000000000e+00	0.00000000000000000e+00	1.84752709414153865e-01	2.51607437837253478e-02	0.00000000000000000e+00	0.00000000000000000e+00
