Time	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ	Body	XP	YP	ZP	FX	FY	FZ
	BoneTrunk	-6.23002648353576660e-04	6.64243251085281372e-02	7.69482254981994629e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50236012414097803e-02	1.34139686822891235e-01	5.99607467651367188e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279287338257e-03	9.79313924908638000e-02	7.13293671607971191e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
1.00000000000000005e-04	BoneTrunk	-6.23002648353576660e-04	6.64243251085281372e-02	7.69482254981682434e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50236012221464012e-02	1.34139686822891235e-01	5.99607467587946474e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279287338257e-03	9.79313924908638000e-02	7.13293671607658997e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
2.00000000000000010e-04	BoneTrunk	-6.23002649078767401e-04	6.64243251212255359e-02	7.69482254954057865e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50235770081444224e-02	1.34139686810793246e-01	5.99607387921718304e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279226824163e-03	9.79313925036719157e-02	7.13293671580119137e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
3.00000000000000028e-04	BoneTrunk	-6.23002649657221352e-04	6.64243251313536565e-02	7.69482254932022602e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50235286538274795e-02	1.34139686801143271e-01	5.99607228793510805e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279178555135e-03	9.79313925138883407e-02	7.13293671558151487e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
4.00000000000000019e-04	BoneTrunk	-6.23002650118283097e-04	6.64243251394265322e-02	7.69482254914458208e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50234562124084772e-02	1.34139686793451562e-01	5.99606990380792015e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279140081744e-03	9.79313925220316045e-02	7.13293671540641050e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
5.00000000000000010e-04	BoneTrunk	-6.23002650485447729e-04	6.64243251458554035e-02	7.69482254900470397e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50233597339362295e-02	1.34139686787326184e-01	5.99606672862735168e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279109443058e-03	9.79313925285165282e-02	7.13293671526696205e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
6.00000000000000056e-04	BoneTrunk	-6.23002650777505773e-04	6.64243251509692850e-02	7.69482254889343409e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50232392653885400e-02	1.34139686782453749e-01	5.99606276419803130e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279085072275e-03	9.79313925336749991e-02	7.13293671515603300e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
7.00000000000000101e-04	BoneTrunk	-6.23002651009493813e-04	6.64243251550313690e-02	7.69482254880504701e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50230948507510398e-02	1.34139686778583456e-01	5.99605801233416558e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279065714149e-03	9.79313925377725131e-02	7.13293671506791682e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
8.00000000000000147e-04	BoneTrunk	-6.23002651193423074e-04	6.64243251582522370e-02	7.69482254873496085e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50229265310845087e-02	1.34139686775514660e-01	5.99605247485690773e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279050366009e-03	9.79313925410214559e-02	7.13293671499804605e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
9.00000000000000192e-04	BoneTrunk	-6.23002651338931679e-04	6.64243251608003099e-02	7.69482254867951188e-01	0.00000000000000000e+00	0.00000000000000000e+00	-0.00000000000000000e+00	BoneLeftThigh	1.50227343445829779e-02	1.34139686773086880e-01	5.99604615359226378e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	0.00000000000000000e+00	BoneTrunk	9.98946279038224333e-03	9.79313925435917471e-02	7.13293671494276693e-01	-0.00000000000000000e+00	-0.00000000000000000e+00	-0.00000000000000000e+00
